device,n_layer,n_head,n_embd,batch_size,block_size,param_count_m,avg_cpu_power,avg_gpu_power,total_power,final_loss,training_time,avg_step_time,steps_per_second,steps_per_second_watt,flops_per_step,flops_per_second,flops_per_watt,total_steps_time,forward_total_time_s,backward_total_time_s,optimizer_step_time_s,zero_grad_time_s,gradient_clipping_time_s,embedding_time_s,transformer_blocks_time_s,final_layernorm_time_s,output_head_time_s,loss_calculation_time_s,block_total_time_s,block_attention_time_s,block_mlp_time_s,block_layernorm1_time_s,block_layernorm2_time_s,block_residual1_time_s,block_residual2_time_s,attention_total_time_s,attention_qkv_proj_time_s,attention_reshape_time_s,attention_compute_time_s,attention_output_reassemble_time_s,mlp_total_time_s,mlp_fc1_time_s,mlp_activation_time_s,mlp_fc2_time_s,mlp_dropout_time_s,io_time_s,first_data_load_time_s,dynamic_learing_rate_loop_time_s,loss_evaluation_time_s,accumulation_time_s,data_loading_time_s,profiling_n_printing_time_s,loss_time_s,mfu_time_s
cpu,2,2,128,8,128,0.427264,595.4666666666667,140.5,735.9666666666667,2.4894,2.7044601440429688,0.008697164179104478,114.98000720770193,156.2299115100801,5384437760,619102692454.2224,841210234.7763337,1.7481300000000002,1.103504,0.829507,0.202849,0.010521,0.055463,0.014521,0.524888,0.008703,0.024209,0.010462,0.52243,0.173603,0.293202,0.016898,0.017346,0.010535,0.008834,0.172254,0.063792,0.003151,0.078334,0.025442,0.291891,0.086535,0.1339,0.068617,0.001481,0.321757,0.00414,0.00035,0.055619,1.683525,0.05292,0.000178,0.000238,0.006834
mps,2,2,128,8,128,0.427264,1005.2666666666667,267.46666666666664,1272.7333333333333,inf,135.49486589431763,inf,0.0,0.0,5384437760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu,2,2,128,8,256,0.443648,1629.9666666666667,44.233333333333334,1674.2,2.5041,6.066644906997681,0.02168,46.125461254612546,27.550747374634177,11439964160,527673623616.23615,315179562.5470291,4.35768,2.721308,2.06798,0.255319,0.024847,0.067186,0.027983,1.330033,0.016225,0.046725,0.022571,1.325228,0.508433,0.691203,0.034224,0.034899,0.023703,0.030465,0.506397,0.147829,0.003736,0.296216,0.056754,0.68975,0.19666,0.336206,0.153075,0.00214,0.470336,0.011094,0.000442,0.202515,4.1442,0.426753,0.000145,0.000191,0.006881
mps,2,2,128,8,256,0.443648,231.86666666666667,990.3,1222.1666666666665,2.5041,3.3926329612731934,0.01204547263681592,83.01874323665712,67.92751389880577,11439964160,949731447235.5999,777088324.48024,2.42114,0.578026,0.375427,0.225348,0.00475,0.130046,0.067063,0.21505,0.002067,0.041233,0.036642,0.213396,0.169542,0.030842,0.00436,0.004078,0.001467,0.001427,0.167984,0.011872,0.003442,0.136556,0.014485,0.029819,0.007562,0.011753,0.007614,0.001571,0.337021,0.008297,0.00031,0.251611,1.687426,0.698323,0.000183,0.401354,0.007439
cpu,2,2,128,8,512,0.476416,2817.1,27.666666666666668,2844.7666666666664,2.5206,10.793203830718994,0.048577910447761184,20.585488152590703,7.236265945393543,25564282880,526253242355.71735,184989949.62295118,9.764159999999999,6.83332,5.506073,0.378641,0.077792,0.080709,0.050093,3.399244,0.029823,0.082171,0.034248,3.372816,1.677032,1.450627,0.060113,0.062984,0.054555,0.063933,1.672141,0.324202,0.004477,1.205137,0.135363,1.448414,0.434554,0.60765,0.398424,0.004867,0.337439,0.006457,0.000528,0.331353,9.419955,0.102612,0.000165,0.0,0.008183
mps,2,2,128,8,512,0.476416,179.63333333333333,3085.8333333333335,3265.4666666666667,2.5206,5.521159887313843,0.022471243781094524,44.50131954161427,13.627859073214937,25564282880,1137644321295.099,348386444.3964413,4.516719999999999,0.743482,0.541866,0.308598,0.006806,0.17535,0.053462,0.283919,0.002778,0.050238,0.043974,0.281707,0.220031,0.044075,0.005868,0.005587,0.001974,0.001845,0.217798,0.016183,0.004677,0.173277,0.021381,0.042614,0.011935,0.015655,0.011168,0.002008,0.344834,0.006461,0.000452,0.226355,3.026416,1.639294,0.000262,1.215363,0.010135
cpu,2,2,128,16,64,0.419072,511.96666666666664,21.833333333333332,533.8,2.4911,2.7046682834625244,0.008571691542288555,116.66308745088256,218.55205592147354,5216665600,608592315094.8107,1140112991.934827,1.7229099999999995,1.082412,0.797747,0.20258,0.010819,0.055743,0.014336,0.51288,0.008672,0.025532,0.010468,0.510186,0.15336,0.300588,0.016872,0.017451,0.010958,0.008932,0.151981,0.065657,0.00315,0.053695,0.027843,0.299386,0.089235,0.134459,0.072856,0.001504,0.322618,0.005483,0.000353,0.056749,1.657057,0.068061,0.000168,0.0,0.00716
mps,2,2,128,16,64,0.419072,186.03333333333333,230.4,416.43333333333334,2.4911,3.303715944290161,0.011506368159203985,86.90839595638147,208.6970206268666,5216665600,453372039536.8343,1088702568.3266652,2.312780000000001,0.530576,0.365556,0.232319,0.004963,0.131093,0.044661,0.200492,0.002049,0.038376,0.033875,0.198797,0.156099,0.030032,0.004196,0.003928,0.00145,0.001397,0.154548,0.011385,0.003394,0.123906,0.014252,0.029017,0.007689,0.0108,0.007757,0.001441,0.337447,0.006221,0.000311,0.11175,1.595927,0.616065,0.00021,0.696039,0.007625
cpu,2,2,128,16,128,0.427264,967.6,23.633333333333333,991.2333333333333,2.4534,4.510499000549316,0.017734179104477603,56.3882880684066,56.886997412388546,10768875520,607238454994.5719,612608993.8405743,3.564569999999998,2.419269,1.851364,0.243296,0.027127,0.065706,0.024925,1.171164,0.014415,0.04249,0.017387,1.167083,0.391049,0.659488,0.029894,0.030964,0.023475,0.029865,0.388869,0.151679,0.003974,0.172568,0.058785,0.658006,0.205248,0.284186,0.164533,0.002316,0.319066,0.004333,0.000533,0.109817,3.442822,0.087389,0.000151,0.0,0.006602
mps,2,2,128,16,128,0.427264,213.43333333333334,599.4333333333333,812.8666666666666,2.4534,3.3814351558685303,0.011991094527363185,83.39522282290754,102.59397542390005,10768875520,898072773542.5543,1104821750.4419188,2.41021,0.520652,0.364471,0.221073,0.004748,0.126542,0.044021,0.198399,0.001922,0.036233,0.032233,0.196783,0.154861,0.029383,0.004233,0.003895,0.001418,0.001343,0.153309,0.011215,0.003287,0.123395,0.013749,0.028325,0.00751,0.010585,0.007462,0.00141,0.341009,0.006703,0.000308,0.153565,1.682892,0.724945,0.000178,0.486374,0.007253
cpu,2,2,128,16,256,0.443648,2039.0666666666666,16.733333333333334,2055.7999999999997,2.5078,7.836968898773193,0.03412253731343284,29.306144229970123,14.255347908342314,22879928320,670522479317.298,326161338.319534,6.858630000000001,4.650334,3.904874,0.271548,0.034435,0.064968,0.039083,2.302517,0.025406,0.065945,0.027944,2.286233,0.894816,1.184687,0.051914,0.053972,0.045041,0.0532,0.890618,0.270118,0.004014,0.507222,0.107106,1.183203,0.373843,0.527467,0.277822,0.002429,0.32483,0.004024,0.000481,0.245705,6.601526,0.10656,0.000165,0.000191,0.007997
mps,2,2,128,16,256,0.443648,164.7,2359.0,2523.7,2.5078,4.551702976226807,0.017744378109452744,56.355877553538065,22.33065639875503,22879928320,1289418438835.648,510923817.7420644,3.5666200000000012,0.637994,0.45482,0.272281,0.005841,0.157101,0.050243,0.241879,0.002442,0.044173,0.039228,0.239826,0.187726,0.036372,0.005278,0.004968,0.001775,0.00167,0.18582,0.013856,0.004153,0.14848,0.017282,0.034983,0.009301,0.012943,0.009304,0.001825,0.340119,0.005709,0.000384,0.18979,2.358765,1.168279,0.000222,0.933981,0.009345
cpu,2,2,128,16,512,0.476416,3290.8333333333335,18.4,3309.2333333333336,inf,26.296679973602295,inf,0.0,0.0,51128565760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mps,2,2,128,16,512,0.476416,156.43333333333334,6249.066666666667,6405.5,2.5001,9.371757745742798,0.04132766169154226,24.196868612207275,3.777514419203384,51128565760,1237151188025.3196,193138894.39158842,8.306859999999995,1.039943,0.837151,0.397669,0.008795,0.24197,0.068255,0.399189,0.004022,0.067041,0.058147,0.396013,0.30711,0.064066,0.00842,0.007766,0.002684,0.002703,0.303993,0.023031,0.006559,0.242562,0.028732,0.062062,0.016896,0.022787,0.017034,0.002786,0.352087,0.006701,0.000642,0.321088,5.260813,3.270566,0.000325,2.559185,0.015761
